# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
b9e9170c-0cfd-456a-bbc0-13f074d63dce	Малик Фофана	Malick Fofana	Q113133054
1027b69e-0ee6-4a52-bc10-2a1e3f76305b	Робин Руфс	Robin Roefs	Q122789696
77bc508d-4ee8-4594-a094-f890839c857a	Том Уотсон	Tom Watson	Q122878833
5d842cb5-7dfe-4fe9-b199-e0a1cf0f48f2	Брайан Броббей	Brian Brobbey	Q57456997
861c5258-4be3-41eb-af4b-e32d828d5bac	Амир Хаджиахметович	Amir Hadžiahmetović	Q22833412
c126a699-073e-440f-8a7e-582d5e4562ed	Абдулкадир Омюр	Abdülkadir Ömür	Q27832286
b39db130-02e7-4e5b-98b5-f9e7e59f81a5	Брук Нортон-Каффи	Brooke Norton-Cuffy	Q110654763
a1061edb-5455-4e4f-a385-36410f0e19ca	Тим Айрогбунам	Tim Iroegbunam	Q111027477
5f6464d8-27ed-46df-9ca4-4fbeebe8f488	Нобель Менди	Nobel Mendy	Q116053269
80f920ca-1e34-407b-96c0-d4bec2b0c4ff	Хидэмаса Морита	Hidemasa Morita	Q56254739
a9417a87-3d53-49a9-8689-7c6548f466c8	Джейден Филоджин	Jaden Philogene	Q106916429
e23c3203-78e2-432f-9e53-a094a156e5b9	Жуан Педро Жералдино	João Pedro Galvao	Q2626107
41d79a12-7f51-4684-a839-97a3395975f4	Мэтт Таргетт	Matt Targett	Q18128628
04a3ab71-396d-4811-8416-c70290d5e686	Линкольн Энрике Оливейра дос Сантос	Lincoln Henrique	Q19822751
44d2e5ca-63c6-4a62-a18d-19eef9139cf4	Сайрус Кристи	Cyrus Christie	Q5201080
8e24a8a6-bb5a-4f89-8d32-19602ee9747b	Айртон Лукас	Ayrton Lucas	Q23638974
cec237c3-ec08-472c-b922-a5a4ca1d5136	Gabi Barbieri	Gabi Barbieri	Q116450248
6f1bf815-5bca-461c-a955-4e5d8d33d743	Жуниньо Олавио	Olávio Vieira dos Santos Júnior	Q50841898
70303bcc-bf3d-4842-a65a-cb0d88fcdd36	Лео Ортис	Leonardo Rech Ortiz	Q55816003
9c7550c0-d94d-46d7-bd46-3b3a133db6c4	Сауль Ньигес	Saúl Ñíguez	Q912172
ea7cc082-20b1-4a92-9e5f-cba4b9ef1047	Николас Де Ла Крус	Nicolás de la Cruz	Q20994037
b829fc2d-a2e1-475e-9202-96a84a65eda9	Дениз Офли	Deniz Emre Ofli	Q137435615
2c5096a3-7600-4dc1-aa75-4956db561886	Габриэл Видович	Gabriel Vidović	Q110611871
6ca67718-01fd-4bd3-b0e4-89f96cf1dfe4	Noah Codjo-Evora	Noah Codjo-Evora	Q127946020
1b39e03b-2832-4134-b61e-b01828084208	Адам Азну	Adam Aznou	Q117288501
7bc1d838-204f-427c-b8ce-c07504c54ada	Алара Шехитлер	Alara Şehitler	Q121260651
b57ccaa6-066f-4ceb-82d0-6f32af57e4ad	Сергей Сердюков	Sergei Serdyukov	Q4417284
